unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0C-1	Home_car_KCT0P-1	Home_car_KT05BgC-1	Home_car_KT05T2C-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Home_car_Y-SB-1	Home_car_Y-SC-1	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Penicillium_rubens	2.687454499	2.758352496	2.867600155	2.641502743	2.116084445	2.372258662	2.08039605	0	2.522737246	2.911843593	2.225388105	1.29747703	0	2.136951128	0	2.388188672	1.727425664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meyerozyma_guilliermondii	2.172503529	0	0	2.426615654	2.411254255	2.4628299	1.995139906	0	0	3.196662689	1.701031606	0	2.460834902	2.775789096	0	2.921976258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_glaucus	2.618465437	0	0	2.525361495	1.991859143	2.712978209	2.083053495	0	2.763730712	2.7451523	2.49674697	1.923563844	1.342680726	0	0	2.76758356	1.61633283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomicrostroma_glucosiphilum	1.927680879	0	0	2.150237824	1.898139246	2.994853901	2.395016947	0	2.398557347	1.560938185	2.13630732	2.807347355	0	0	0	1.704601328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_oxysporum_f_sp_lycopersici_4287	1.534632137	0	2.678553177	1.944272158	2.104471591	2.388526012	0	0	2.052401702	2.932984028	2.182982372	1.600510628	0	2.543094667	0	1.290203574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lodderomyces_elongisporus	0	0	0	2.004281582	2.291616545	0	0	0	0	2.752800031	3.191733412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clavispora_lusitaniae	0	0	0	2.206990921	0	0	0	0	0	2.109663136	3.233007691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torulaspora_delbrueckii	0	0	0	3.164575187	0	0	2.21500136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_niger_or_lacticoffeatus	2.887265038	0	0	2.072224336	0	2.225371255	0	0	0	0	1.894524876	0	0	0	0	2.011455813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yarrowia_lipolytica	0	0	0	2.083223971	0	2.673034339	2.487843911	0	2.323137189	1.707144319	0	0	0	0	0	1.364043729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetomium_globosum	1.648193464	0	0	2.098333071	1.949306231	2.740106122	2.170318721	0	0	0	1.434886935	0	1.236702643	0	0	2.242927802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nosema_ceranae	0	0	0	0	0	0	3.07004253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exserohilum_turcica	0	0	0	2.028347353	2.259734323	2.291501075	1.468711505	0	2.595845308	0	1.649270109	0	0	0	0	1.096388828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nectria_haematococca	0	0	0	1.249453541	2.013002801	1.85713298	1.472003254	0	2.677884905	0	2.051012681	0	0	1.638898931	0	0.897785222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	2.339821494	0	0	1.625999418	0	2.036084155	1.856509576	0	0	1.42510719	1.385399443	0	0	2.046176551	0	2.051062159	1.915633845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichosporon_asahii	0	0	2.7208819	1.174524613	0	0	2.152349937	0	1.786643233	1.611979321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Penicillium_expansum	0	0	0	1.739288895	2.135643073	2.602069596	1.39528042	0	0	1.94262801	1.526994824	0	0	0	0	1.598900359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_sorokiniana	0	0	2.253201911	1.883477012	0	2.57364457	1.965146139	0	0	0	0	0	0	0	0	1.179986381	1.453781523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
