name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	3	3	0.0
Azospirillum brasilense	192	species	13978806	2	2	0.0
Paracoccus	265	genus	0	3	0	0.0
Meiothermus ruber	277	species	3097457	1	1	1.19044e-07
Pseudomonas	286	genus	0	493	16	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	1	0.0
Burkholderia cepacia	292	species	13365495	12	6	0.0
Pseudomonas fluorescens	294	species	14826544	6	0	0
Pseudomonas mendocina	300	species	5293211	2	2	0.0
Pseudomonas putida	303	species	6888188	49	39	3.02385e-06
Ralstonia solanacearum	305	species	11186335	40	6	2.12519e-07
Pseudomonas stutzeri	316	species	7755802	6	6	5.80226e-08
Ralstonia pickettii	329	species	6378979	203	116	7.59379e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Xanthomonas	338	genus	0	3	0	0.0
Xanthomonas campestris	339	species	7063896	1	0	0.0
Xanthomonas translucens	343	species	4638247	2	2	0.0
Rhizobiales	356	order	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0
Rhizobium leguminosarum	384	species	7369497	4	4	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	2	2	0.0
Methylobacillus flagellatus	405	species	2971517	2	2	0.0
Methylobacterium extorquens	408	species	6163878	9	5	4.14362e-07
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella longbeachae	450	species	4149158	5	0	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0
Neisseria lactamica	486	species	2220606	1	0	6.53255e-12
Neisseria meningitidis	487	species	8508873	1	0	0
Neisseria elongata	495	species	2256647	1	0	1.97825e-17
Alcaligenes faecalis	511	species	4248684	2	2	1.73575e-07
Bordetella bronchiseptica	518	species	6491145	6	0	0.0
Bordetella pertussis	520	species	48698463	6	0	0.0
Enterobacteriaceae	543	family	0	4481	2466	0.0
Citrobacter	544	genus	0	2941	0	0.0
Citrobacter koseri	545	species	4735357	76251	9	5.0954e-07
Citrobacter freundii	546	species	16193243	7787	21	3.69182e-07
Enterobacter	547	genus	0	1146	0	0.0
[Enterobacter] aerogenes	548	species	10750562	75712	12	0
Pantoea agglomerans	549	species	9924054	102	0	9.1175e-23
Enterobacter cloacae	550	species	10083180	4446	11	0
Erwinia	551	genus	0	21	0	0.0
Pantoea ananatis	553	species	4842757	881	1	1.97337e-68
Pectobacterium carotovorum	554	species	4852842	57	8	0.0
Escherichia	561	genus	0	7555	0	0.0
Escherichia coli	562	species	12319210	3458943	1490653	0.102715
Shimwellia blattae	563	species	4158725	3143	3	1.78468e-07
Escherichia fergusonii	564	species	4643861	264862	602	4.50612e-05
Hafnia	568	genus	0	2	0	0.0
Hafnia alvei	569	species	6928293	3558	3	1.06638e-07
Klebsiella	570	genus	0	2870	0	0.0
Klebsiella oxytoca	571	species	16779606	1928	12	0
Klebsiella pneumoniae	573	species	15713353	80190	57	0
Morganella morganii	582	species	3853791	2	1	0.0
Proteus mirabilis	584	species	5337360	5	0	0.0
Proteus vulgaris	585	species	3794983	5	0	0.0
Providencia stuartii	588	species	6521015	1	0	0.0
Salmonella	590	genus	0	39	0	0.0
Serratia	613	genus	0	71	0	0.0
Serratia liquefaciens	614	species	7946985	1047	9	1.39262e-07
Serratia marcescens	615	species	8465231	31	1	0
Shigella	620	genus	0	473534	0	0.0
Shigella boydii	621	species	4698475	500587	245	3.03953e-06
Shigella dysenteriae	622	species	4560911	434371	309	5.77462e-06
Shigella flexneri	623	species	4763519	453544	92	3.71673e-06
Shigella sonnei	624	species	6798914	568499	89	1.96482e-06
Yersinia	629	genus	0	9785	0	0.0
Yersinia enterocolitica	630	species	14308813	908	1	2.81712e-65
Yersinia intermedia	631	species	4859749	26	4	0.0
Yersinia pestis	632	species	7124135	878	0	1.55246e-54
Yersinia pseudotuberculosis	633	species	9565781	221	0	1.19255e-60
Edwardsiella	635	genus	0	2250	0	0.0
Edwardsiella tarda	636	species	3717889	2	0	9.93922e-08
Aeromonas	642	genus	0	4	0	0.0
Aeromonas hydrophila	644	species	7739252	2	0	0
Aeromonas salmonicida	645	species	5040536	1	1	0.0
