name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cystobacteraceae	39	family	0	1	0	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Isosphaera pallida	128	species	5529304	1	0	1.14952e-55
Helicobacter acinonychis	212	species	1557588	1	1	0.0
Achromobacter	222	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	2	2	0.0
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	5695231	4	3	6.28711e-07
Pseudomonas	286	genus	0	56	4	0.0
Pseudomonas aeruginosa	287	species	22457305	7	1	0
Burkholderia cepacia	292	species	13365495	5	1	4.79452e-18
Pseudomonas fluorescens	294	species	14826544	8	1	1.27201e-07
Pseudomonas mendocina	300	species	5293211	1	1	0.0
Pseudomonas putida	303	species	6888188	62	43	9.29681e-06
Ralstonia solanacearum	305	species	11186335	14	7	5.10238e-07
Pseudomonas stutzeri	316	species	7755802	9	9	6.82767e-07
Pseudomonas syringae	317	species	6129101	2	0	4.257e-21
Ralstonia pickettii	329	species	6378979	86	62	8.72287e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Xanthomonas	338	genus	0	2	1	0.0
Xanthomonas campestris	339	species	7063896	3	1	2.20194e-41
Xanthomonas translucens	343	species	4638247	6	3	4.67677e-33
Xanthomonas citri	346	species	17318955	4	0	3.44037e-21
Xanthomonas oryzae	347	species	17545599	6	3	4.55416e-24
Agrobacterium tumefaciens	358	species	9211775	1	0	0
Bradyrhizobium	374	genus	0	2	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Sinorhizobium meliloti	382	species	6962835	1	0	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacillus	404	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	1	0	0
Alcaligenes faecalis	511	species	4248684	1	1	2.35621e-07
Bordetella	517	genus	0	5	0	0.0
Bordetella bronchiseptica	518	species	6491145	5	1	2.05503e-07
Bordetella parapertussis	519	species	4815611	3	0	7.90117e-18
Bordetella pertussis	520	species	48698463	3	0	7.88437e-39
Bordetella avium	521	species	3732255	2	0	0.0
Ochrobactrum anthropi	529	species	5053471	1	1	1.96717e-07
Chromobacterium	535	genus	0	1	0	0.0
Enterobacteriaceae	543	family	0	1646	659	0.0
Citrobacter	544	genus	0	529	0	0.0
Citrobacter koseri	545	species	4735357	25034	2	2.31454e-25
Citrobacter freundii	546	species	16193243	2982	5	2.79413e-07
Enterobacter	547	genus	0	351	0	0.0
[Enterobacter] aerogenes	548	species	10750562	24714	4	0
Pantoea agglomerans	549	species	9924054	43	1	1.97412e-07
Enterobacter cloacae	550	species	10083180	739	6	5.70363e-17
Erwinia	551	genus	0	18	0	0.0
Pantoea ananatis	553	species	4842757	523	0	1.57114e-88
Pectobacterium carotovorum	554	species	4852842	16	2	0.0
Escherichia	561	genus	0	1879	0	0.0
Escherichia coli	562	species	12319210	1357644	518680	0.10886
Shimwellia blattae	563	species	4158725	790	1	1.92663e-74
Escherichia fergusonii	564	species	4643861	102195	458	0.000103115
Hafnia alvei	569	species	6928293	3902	0	2.98827e-74
Klebsiella	570	genus	0	371	1	0.0
Klebsiella oxytoca	571	species	16779606	439	2	2.7284e-28
Klebsiella pneumoniae	573	species	15713353	27084	32	3.04693e-06
Proteus mirabilis	584	species	5337360	4	0	0.0
Proteus vulgaris	585	species	3794983	4	0	0.0
Providencia stuartii	588	species	6521015	1	0	0.0
Salmonella	590	genus	0	7	0	0.0
Serratia	613	genus	0	32	0	0.0
Serratia liquefaciens	614	species	7946985	159	5	5.00453e-07
Serratia marcescens	615	species	8465231	10	3	7.17784e-18
Shigella	620	genus	0	176021	0	0.0
Shigella boydii	621	species	4698475	161479	83	1.68024e-06
Shigella dysenteriae	622	species	4560911	157658	102	5.86616e-06
Shigella flexneri	623	species	4763519	143054	20	2.80316e-06
Shigella sonnei	624	species	6798914	186736	35	1.13741e-06
Yersinia	629	genus	0	2803	0	0.0
Yersinia enterocolitica	630	species	14308813	97	0	2.34823e-20
Yersinia intermedia	631	species	4859749	3	1	0.0
Yersinia pestis	632	species	7124135	97	0	3.11222e-83
Yersinia pseudotuberculosis	633	species	9565781	20	0	3.0348e-91
Edwardsiella	635	genus	0	455	0	0.0
Edwardsiella tarda	636	species	3717889	2	0	0.0
Aeromonas hydrophila	644	species	7739252	2	2	0.0
Aeromonas veronii	654	species	7214925	1	0	0.0
Vibrio alginolyticus	663	species	8138835	1	0	0.0
Plesiomonas	702	genus	0	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	456	0	4.31676e-107
Haemophilus	724	genus	0	41	0	0.0
Pasteurella multocida	747	species	2546987	5	5	0.0
Chlamydia	810	genus	0	1	0	0.0
Bacteroides	816	genus	0	1	0	0.0
Nitrobacter hamburgensis	912	species	5011522	1	1	1.98364e-07
Starkeya novella	921	species	4765023	1	0	1.67209e-51
Rhodopseudomonas	1073	genus	0	2	0	0.0
Blastochloris viridis	1079	species	11174693	1	1	0.0
Chlorobium phaeobacteroides	1096	species	2935152	1	0	0.0
