name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	9	8	3.82873e-06
Leptothrix	88	genus	0	3	0	0.0
Azospirillum lipoferum	193	species	7223069	2	0	4.20357e-55
Helicobacter felis	214	species	1672681	1	1	0.0
Achromobacter	222	genus	0	6	0	0.0
Paracoccus denitrificans	266	species	5236194	2	1	0.0
Xanthobacter autotrophicus	280	species	5625098	2	2	7.30962e-06
Comamonas	283	genus	0	5	0	0.0
Comamonas testosteroni	285	species	5695231	19	5	2.29925e-05
Pseudomonas	286	genus	0	23	2	0.0
Pseudomonas aeruginosa	287	species	22457305	20	6	5.19115e-06
Burkholderia cepacia	292	species	13365495	2	0	7.02507e-30
Pseudomonas fluorescens	294	species	14826544	8	1	0
Pseudomonas putida	303	species	6888188	21	10	5.76528e-05
Ralstonia solanacearum	305	species	11186335	6	3	2.37504e-06
Pseudomonas stutzeri	316	species	7755802	13	8	1.48922e-05
Pseudomonas syringae	317	species	6129101	1	1	0.0
Ralstonia pickettii	329	species	6378979	14	9	3.4659e-05
Pseudomonas pseudoalcaligenes	330	species	4691662	2	2	1.06415e-05
Burkholderia glumae	337	species	7333967	2	0	2.92856e-06
Xanthomonas	338	genus	0	17	0	0.0
Xanthomonas campestris	339	species	7063896	15	4	0
Xanthomonas translucens	343	species	4638247	25	4	0
Xanthomonas citri	346	species	17318955	11	0	0
Xanthomonas oryzae	347	species	17545599	5	1	0
Azotobacter chroococcum	353	species	5192286	3	0	1.93663e-69
Rhizobiales	356	order	0	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	6	0	0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Bradyrhizobium sp.	376	species	7547693	2	0	0.0
Sinorhizobium fredii	380	species	6891900	1	1	0.0
Mesorhizobium loti	381	species	7539018	3	0	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylobacterium extorquens	408	species	6163878	1	1	0.0
Acinetobacter baumannii	470	species	11595472	2	2	1.77161e-06
Neisseria lactamica	486	species	2220606	1	1	0.0
Alcaligenes faecalis	511	species	4248684	337	328	0.00121094
Bordetella	517	genus	0	9	0	0.0
Bordetella bronchiseptica	518	species	6491145	10	2	6.74611e-06
Bordetella parapertussis	519	species	4815611	4	0	7.66684e-201
Bordetella pertussis	520	species	48698463	1	1	0.0
