name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	0	0.0
Leptospira biflexa	172	species	3953768	2	2	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Meiothermus ruber	277	species	3097457	1	1	1.18302e-07
Comamonas testosteroni	285	species	5695231	2	2	0.0
Pseudomonas	286	genus	0	615	0	0.0
Pseudomonas aeruginosa	287	species	22457305	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	1	0	0.0
Pseudomonas putida	303	species	6888188	40	22	1.93954e-06
Ralstonia solanacearum	305	species	11186335	14	4	1.71563e-28
Pseudomonas stutzeri	316	species	7755802	6	6	2.51286e-07
Ralstonia pickettii	329	species	6378979	164	88	6.28445e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Xanthomonas translucens	343	species	4638247	3	3	0.0
Rhizobiales	356	order	0	1	0	0.0
Mesorhizobium loti	381	species	7539018	5	5	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella longbeachae	450	species	4149158	7	1	0.0
Moraxella	475	genus	0	1	0	0.0
Enterobacteriaceae	543	family	0	4078	2279	0.0
Citrobacter	544	genus	0	2965	0	0.0
Citrobacter koseri	545	species	4735357	70584	8	4.73982e-07
Citrobacter freundii	546	species	16193243	6800	11	0
Enterobacter	547	genus	0	2001	0	0.0
[Enterobacter] aerogenes	548	species	10750562	68568	19	1.82772e-07
Pantoea agglomerans	549	species	9924054	80	0	1.0737e-66
Enterobacter cloacae	550	species	10083180	4958	23	0
Erwinia	551	genus	0	24	0	0.0
Erwinia amylovora	552	species	3869718	2	2	0.0
Pantoea ananatis	553	species	4842757	1202	3	2.59891e-51
Pectobacterium carotovorum	554	species	4852842	35	4	7.55096e-08
Escherichia	561	genus	0	9254	0	0.0
Escherichia coli	562	species	12319210	3638922	1590685	0.107408
Shimwellia blattae	563	species	4158725	3255	2	8.86355e-08
Escherichia fergusonii	564	species	4643861	288475	990	8.43464e-05
Hafnia alvei	569	species	6928293	4878	4	1.59049e-07
Klebsiella	570	genus	0	3514	0	0.0
Klebsiella oxytoca	571	species	16779606	2781	14	0
Klebsiella pneumoniae	573	species	15713353	73597	56	0
Proteus mirabilis	584	species	5337360	4	0	0.0
Proteus vulgaris	585	species	3794983	4	0	0.0
Salmonella	590	genus	0	39	0	0.0
Serratia	613	genus	0	40	0	0.0
Serratia liquefaciens	614	species	7946985	1037	12	1.84521e-07
Serratia marcescens	615	species	8465231	23	2	0
Shigella	620	genus	0	508345	0	0.0
Shigella boydii	621	species	4698475	535636	211	3.73826e-06
Shigella dysenteriae	622	species	4560911	457150	265	4.92841e-06
Shigella flexneri	623	species	4763519	487703	93	6.39476e-06
Shigella sonnei	624	species	6798914	622827	91	2.10712e-06
Xenorhabdus	626	genus	0	3	0	0.0
Yersinia	629	genus	0	10504	0	0.0
Yersinia enterocolitica	630	species	14308813	1072	0	4.49321e-49
Yersinia intermedia	631	species	4859749	9	2	0.0
Yersinia pestis	632	species	7124135	1046	0	1.28296e-41
Yersinia pseudotuberculosis	633	species	9565781	237	0	3.76068e-46
Edwardsiella	635	genus	0	2559	0	0.0
Edwardsiella tarda	636	species	3717889	1	0	0.0
Aeromonas hydrophila	644	species	7739252	1	0	0
Aeromonas salmonicida	645	species	5040536	1	1	0.0
Aeromonas media	651	species	4788430	2	1	0
Aeromonas schubertii	652	species	4400034	2	1	0.0
Aeromonas veronii	654	species	7214925	7	0	0
