name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Helicobacter pylori	210	species	2044699	24	24	4.27534e-06
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Pseudomonas	286	genus	0	81	0	0.0
Pseudomonas aeruginosa	287	species	22457305	1099	425	1.70285e-05
Pseudomonas fluorescens	294	species	14826544	5	1	0.0
Pseudomonas putida	303	species	6888188	6	1	1.05762e-07
Pseudomonas stutzeri	316	species	7755802	49	1	5.39332e-08
Pseudomonas syringae	317	species	6129101	1	0	0.0
Ralstonia pickettii	329	species	6378979	77	31	4.41204e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	2	1	7.764e-08
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Bradyrhizobium	374	genus	0	1	0	0.0
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Gluconobacter oxydans	442	species	3306867	3	0	0.0
Legionella longbeachae	450	species	4149158	1	0	0.0
Acinetobacter baumannii	470	species	11595472	920	732	2.81769e-05
Neisseria gonorrhoeae	485	species	4967431	272	0	0
Neisseria lactamica	486	species	2220606	225	0	1.90949e-05
Neisseria meningitidis	487	species	8508873	522	237	1.73192e-05
Neisseria elongata	495	species	2256647	31	0	2.06301e-15
Enterobacteriaceae	543	family	0	3632	1808	0.0
Citrobacter	544	genus	0	4460	0	0.0
Citrobacter koseri	545	species	4735357	65144	12	1.11791e-07
Citrobacter freundii	546	species	16193243	8529	14	3.31597e-08
Enterobacter	547	genus	0	924	0	0.0
[Enterobacter] aerogenes	548	species	10750562	65642	16	3.59676e-08
Pantoea agglomerans	549	species	9924054	104	0	7.96956e-41
Enterobacter cloacae	550	species	10083180	4113	17	3.36785e-07
Erwinia	551	genus	0	15	0	0.0
Pantoea ananatis	553	species	4842757	892	2	7.53483e-08
Pectobacterium carotovorum	554	species	4852842	42	10	7.50575e-08
Escherichia	561	genus	0	8946	0	0.0
Escherichia coli	562	species	12319210	3801414	1630834	0.111679
Shimwellia blattae	563	species	4158725	4740	3	8.81532e-08
Escherichia fergusonii	564	species	4643861	308636	838	7.29075e-05
Hafnia	568	genus	0	2	0	0.0
Hafnia alvei	569	species	6928293	3985	3	1.58013e-07
Klebsiella	570	genus	0	1970	0	0.0
Klebsiella oxytoca	571	species	16779606	2655	9	1.34282e-07
Klebsiella pneumoniae	573	species	15713353	68696	10	8.9292e-15
Proteus mirabilis	584	species	5337360	3	0	0.0
