name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Shewanella	22	genus	0	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	2	0	0.0
Pseudomonas	286	genus	0	856	1	0.0
Pseudomonas aeruginosa	287	species	22457305	3	0	3.15094e-33
Burkholderia cepacia	292	species	13365495	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	12	4	1.1526e-18
Pseudomonas putida	303	species	6888188	43	27	1.85686e-06
Ralstonia solanacearum	305	species	11186335	30	13	8.26054e-08
Pseudomonas stutzeri	316	species	7755802	6	3	1.49192e-07
Ralstonia pickettii	329	species	6378979	161	102	7.33449e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	8	3	2.53011e-07
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium leguminosarum	384	species	7369497	2	2	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	4	4	0.0
Methylobacillus flagellatus	405	species	2971517	2	2	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylobacterium extorquens	408	species	6163878	6	0	0.0
Methylococcus capsulatus	414	species	3304561	4	4	4.49516e-07
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella longbeachae	450	species	4149158	8	1	0.0
Moraxella	475	genus	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	3.19007e-22
Neisseria lactamica	486	species	2220606	1	0	4.34531e-15
Neisseria meningitidis	487	species	8508873	1	0	0
Neisseria elongata	495	species	2256647	1	0	0
Bordetella avium	521	species	3732255	4	0	0.0
Beijerinckia indica	533	species	4418616	2	0	0.0
Enterobacteriaceae	543	family	0	4797	3002	0.0
Citrobacter	544	genus	0	4646	0	0.0
Citrobacter koseri	545	species	4735357	72306	10	2.93653e-07
Citrobacter freundii	546	species	16193243	8949	38	0
Enterobacter	547	genus	0	2099	2	0.0
[Enterobacter] aerogenes	548	species	10750562	70807	23	8.53212e-07
Pantoea agglomerans	549	species	9924054	104	0	4.01979e-08
Enterobacter cloacae	550	species	10083180	6467	34	0
Erwinia	551	genus	0	18	0	0.0
Erwinia amylovora	552	species	3869718	1	0	6.67164e-19
Pantoea ananatis	553	species	4842757	1560	0	1.07938e-83
Pectobacterium carotovorum	554	species	4852842	37	6	2.29575e-07
Escherichia	561	genus	0	13256	0	0.0
