name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pseudomonas	286	genus	0	8	0	0.0
Pseudomonas aeruginosa	287	species	22457305	2	2	0.0
Burkholderia cepacia	292	species	13365495	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	3	3	0.0
Pseudomonas putida	303	species	6888188	2	2	3.17642e-07
Pseudomonas stutzeri	316	species	7755802	5	5	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Bradyrhizobium	374	genus	0	3	0	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Legionella longbeachae	450	species	4149158	2	1	0.0
Neisseria gonorrhoeae	485	species	4967431	4	0	9.43154e-29
Neisseria lactamica	486	species	2220606	1	0	0
Neisseria meningitidis	487	species	8508873	4	0	0
Neisseria elongata	495	species	2256647	1	0	1.61311e-46
Enterobacteriaceae	543	family	0	273	15	0.0
Citrobacter	544	genus	0	677	0	0.0
Citrobacter koseri	545	species	4735357	11885	1	5.85401e-07
Citrobacter freundii	546	species	16193243	1059	3	3.72782e-07
Enterobacter	547	genus	0	481	1	0.0
[Enterobacter] aerogenes	548	species	10750562	13260	11	2.73055e-07
Pantoea agglomerans	549	species	9924054	14	0	3.87633e-20
Enterobacter cloacae	550	species	10083180	1124	2	5.20013e-07
Erwinia	551	genus	0	1	0	0.0
Pantoea ananatis	553	species	4842757	1091	0	1.83589e-258
Pectobacterium carotovorum	554	species	4852842	15	1	4.50865e-07
Escherichia	561	genus	0	2260	0	0.0
Escherichia coli	562	species	12319210	884046	348266	0.155231
Shimwellia blattae	563	species	4158725	2111	0	1.77371e-198
Escherichia fergusonii	564	species	4643861	71963	62	4.83922e-06
Hafnia alvei	569	species	6928293	1143	0	8.24801e-19
Klebsiella	570	genus	0	55	0	0.0
Klebsiella oxytoca	571	species	16779606	72	1	0
Klebsiella pneumoniae	573	species	15713353	16412	2	1.88944e-20
Morganella morganii	582	species	3853791	1	0	0.0
Serratia	613	genus	0	22	0	0.0
Serratia liquefaciens	614	species	7946985	841	0	0
Serratia marcescens	615	species	8465231	9	5	6.50538e-07
Shigella	620	genus	0	144808	0	0.0
Shigella boydii	621	species	4698475	127752	598	7.29993e-06
Shigella dysenteriae	622	species	4560911	118093	122	1.73332e-05
Shigella flexneri	623	species	4763519	127502	27	9.08756e-06
Shigella sonnei	624	species	6798914	137673	34	3.06646e-06
Yersinia	629	genus	0	1524	0	0.0
Yersinia enterocolitica	630	species	14308813	1363	0	1.49067e-283
Yersinia intermedia	631	species	4859749	1	0	0.0
Yersinia pestis	632	species	7124135	1376	0	1.05344e-225
Yersinia pseudotuberculosis	633	species	9565781	818	0	2.97087e-268
Edwardsiella	635	genus	0	520	0	0.0
Aeromonas hydrophila	644	species	7739252	1	0	0.0
Aeromonas media	651	species	4788430	2	2	0.0
Aeromonas veronii	654	species	7214925	4	1	0.0
Vibrio cholerae	666	species	6170861	1	1	0.0
Vibrio fluvialis	676	species	4827724	1	1	4.53211e-07
Plesiomonas	702	genus	0	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	519	0	1.46667e-306
Gallibacterium anatis	750	species	2694139	3	3	2.43637e-06
Rhodomicrobium vannielii	1069	species	4014469	1	0	0.0
