name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pseudomonas	286	genus	0	10	0	0.0
Pseudomonas aeruginosa	287	species	22457305	6	6	7.39788e-07
Pseudomonas fluorescens	294	species	14826544	4	1	0.0
Ralstonia solanacearum	305	species	11186335	1	1	0.0
Ralstonia pickettii	329	species	6378979	6	0	3.24532e-18
Xanthomonas campestris	339	species	7063896	2	0	0.0
Rhizobium leguminosarum	384	species	7369497	3	3	0.0
Acinetobacter baumannii	470	species	11595472	12	0	6.5548e-103
Neisseria meningitidis	487	species	8508873	1	1	3.25408e-07
Enterobacteriaceae	543	family	0	258	106	0.0
Citrobacter	544	genus	0	106	0	0.0
Citrobacter koseri	545	species	4735357	3838	0	5.78459e-20
Citrobacter freundii	546	species	16193243	436	0	3.62055e-70
Enterobacter	547	genus	0	74	0	0.0
[Enterobacter] aerogenes	548	species	10750562	3782	0	8.55129e-33
Pantoea agglomerans	549	species	9924054	1	0	0.0
Enterobacter cloacae	550	species	10083180	116	0	1.46955e-72
Pantoea ananatis	553	species	4842757	50	0	2.26109e-73
Pectobacterium carotovorum	554	species	4852842	3	0	0.0
Escherichia	561	genus	0	274	0	0.0
Escherichia coli	562	species	12319210	176954	77190	0.0395341
Shimwellia blattae	563	species	4158725	123	0	7.43452e-59
Escherichia fergusonii	564	species	4643861	14037	39	2.66476e-05
Hafnia alvei	569	species	6928293	341	0	1.54308e-69
Klebsiella	570	genus	0	115	0	0.0
Klebsiella oxytoca	571	species	16779606	57	1	2.00678e-83
Klebsiella pneumoniae	573	species	15713353	4033	6	1.25776e-06
Salmonella	590	genus	0	3	0	0.0
Serratia	613	genus	0	2	0	0.0
Serratia liquefaciens	614	species	7946985	46	0	3.36388e-28
Shigella	620	genus	0	24179	0	0.0
Shigella boydii	621	species	4698475	26291	2	3.88629e-28
Shigella dysenteriae	622	species	4560911	21884	10	6.18074e-06
Shigella flexneri	623	species	4763519	22958	2	3.75891e-06
Shigella sonnei	624	species	6798914	28839	4	8.9583e-07
Yersinia	629	genus	0	275	0	0.0
