name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cellvibrio	10	genus	0	1	0	0.0
Shewanella	22	genus	0	1	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Pseudomonas	286	genus	0	273	0	0.0
Burkholderia cepacia	292	species	13365495	1	0	0.0
Pseudomonas fluorescens	294	species	14826544	1	1	0.0
Pseudomonas putida	303	species	6888188	37	8	2.05415e-06
Ralstonia solanacearum	305	species	11186335	5	0	5.3712e-18
Ralstonia pickettii	329	species	6378979	116	95	5.81781e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	3	0	0.0
Xanthomonas campestris	339	species	7063896	6	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Rhizobium leguminosarum	384	species	7369497	3	3	0.0
Methylobacterium extorquens	408	species	6163878	2	0	0.0
Legionella longbeachae	450	species	4149158	6	1	0.0
Moraxella	475	genus	0	1	0	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Enterobacteriaceae	543	family	0	2693	1428	0.0
Citrobacter	544	genus	0	1811	0	0.0
Citrobacter koseri	545	species	4735357	65939	8	1.83227e-14
Citrobacter freundii	546	species	16193243	6612	13	1.44994e-07
Enterobacter	547	genus	0	750	3	0.0
[Enterobacter] aerogenes	548	species	10750562	65607	4	6.91556e-15
Pantoea agglomerans	549	species	9924054	183	0	2.56412e-30
Enterobacter cloacae	550	species	10083180	2483	10	4.09297e-08
Erwinia	551	genus	0	11	0	0.0
Erwinia amylovora	552	species	3869718	2	1	9.97053e-08
Pantoea ananatis	553	species	4842757	459	0	3.99773e-84
Pectobacterium carotovorum	554	species	4852842	55	1	0.0
Escherichia	561	genus	0	6206	0	0.0
Escherichia coli	562	species	12319210	3237878	1447931	0.100719
Shimwellia blattae	563	species	4158725	2124	3	9.31795e-08
Escherichia fergusonii	564	species	4643861	240774	615	5.06448e-05
Hafnia alvei	569	species	6928293	2078	1	5.57526e-08
Klebsiella	570	genus	0	1784	0	0.0
Klebsiella oxytoca	571	species	16779606	1613	17	9.337e-08
Klebsiella pneumoniae	573	species	15713353	67646	33	1.00753e-06
Proteus mirabilis	584	species	5337360	3	0	0.0
Proteus vulgaris	585	species	3794983	3	0	0.0
Providencia stuartii	588	species	6521015	1	0	0.0
Salmonella	590	genus	0	65	0	0.0
Serratia	613	genus	0	45	0	0.0
Serratia liquefaciens	614	species	7946985	579	9	1.45691e-07
Serratia marcescens	615	species	8465231	29	3	0
Shigella	620	genus	0	456441	0	0.0
Shigella boydii	621	species	4698475	492610	148	2.06327e-06
Shigella dysenteriae	622	species	4560911	414790	185	5.43602e-06
Shigella flexneri	623	species	4763519	450597	65	3.29124e-06
Shigella sonnei	624	species	6798914	563920	52	1.85903e-06
Xenorhabdus	626	genus	0	5	0	0.0
Yersinia	629	genus	0	8128	0	0.0
Yersinia enterocolitica	630	species	14308813	528	2	4.33538e-75
Yersinia intermedia	631	species	4859749	9	0	0.0
Yersinia pestis	632	species	7124135	509	0	7.8863e-63
Yersinia pseudotuberculosis	633	species	9565781	124	1	2.06958e-69
Edwardsiella	635	genus	0	2079	0	0.0
Aeromonas	642	genus	0	2	0	0.0
Aeromonas hydrophila	644	species	7739252	1	0	0.0
Aeromonas schubertii	652	species	4400034	1	0	0.0
Aeromonas veronii	654	species	7214925	6	0	0.0
Vibrio cholerae	666	species	6170861	3	0	0.0
Vibrio vulnificus	672	species	10215744	2	2	0.0
Vibrio fluvialis	676	species	4827724	1	1	7.99195e-08
Plesiomonas	702	genus	0	2	0	0.0
Plesiomonas shigelloides	703	species	3405979	2075	0	9.79177e-74
Haemophilus	724	genus	0	259	0	0.0
Haemophilus influenzae	727	species	2672708	1	0	0.0
Histophilus somni	731	species	2138367	3	0	5.41295e-07
Aggregatibacter aphrophilus	732	species	3520359	3	0	4.58754e-190
Pasteurella multocida	747	species	2546987	2	2	0.0
Gallibacterium anatis	750	species	2694139	3	2	2.86421e-07
Dichelobacter nodosus	870	species	1389350	1	0	2.77705e-07
Nitrosomonas eutropha	916	species	2781824	1	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	5469	0	2.90009e-65
Leuconostoc lactis	1246	species	1788069	3754	0	6.12066e-70
Oenococcus oeni	1247	species	1780517	13	0	0.0
Leuconostoc carnosum	1252	species	1773468	5461	0	1.87092e-63
Pediococcus acidilactici	1254	species	2131361	1	0	0.0
Pediococcus pentosaceus	1255	species	1817384	1	1	0.0
Staphylococcus	1279	genus	0	15373	12163	0.0
Staphylococcus aureus	1280	species	7252422	1841944	1692662	0.0974877
Staphylococcus carnosus	1281	species	2605765	123	120	5.56937e-38
Staphylococcus epidermidis	1282	species	3296362	45	1	1.75433e-40
Staphylococcus haemolyticus	1283	species	2629003	23	2	6.3325e-20
Staphylococcus hyicus	1284	species	2472129	45	0	1.97116e-22
Staphylococcus simulans	1286	species	2647552	21	21	3.13192e-06
Staphylococcus warneri	1292	species	2560716	28	2	3.39501e-06
