name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	2	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum lipoferum	193	species	7223069	1	1	0.0
Pseudomonas	286	genus	0	623	0	0.0
Pseudomonas aeruginosa	287	species	22457305	3	3	4.74176e-08
Pseudomonas fluorescens	294	species	14826544	1	0	0.0
Pseudomonas mendocina	300	species	5293211	1	0	0.0
Pseudomonas putida	303	species	6888188	27	10	8.58787e-07
Ralstonia solanacearum	305	species	11186335	6	6	0.0
Pseudomonas stutzeri	316	species	7755802	8	7	0.0
Pseudomonas syringae	317	species	6129101	4	0	2.29289e-26
Ralstonia pickettii	329	species	6378979	84	53	3.17495e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	4	1	7.56845e-08
Azotobacter	352	genus	0	1	0	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Gluconobacter oxydans	442	species	3306867	2	0	0.0
Legionella longbeachae	450	species	4149158	3	0	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Bordetella bronchiseptica	518	species	6491145	2	0	0.0
Bordetella pertussis	520	species	48698463	2	0	0.0
Enterobacteriaceae	543	family	0	4226	2397	0.0
Citrobacter	544	genus	0	3165	0	0.0
Citrobacter koseri	545	species	4735357	66408	15	7.55932e-07
Citrobacter freundii	546	species	16193243	7601	12	0
Enterobacter	547	genus	0	1594	1	0.0
[Enterobacter] aerogenes	548	species	10750562	65319	22	1.36189e-07
Pantoea agglomerans	549	species	9924054	146	0	7.28931e-08
Enterobacter cloacae	550	species	10083180	4698	13	0
Erwinia	551	genus	0	25	0	0.0
Pantoea ananatis	553	species	4842757	1158	0	8.14878e-61
Pectobacterium carotovorum	554	species	4852842	57	5	0.0
Escherichia	561	genus	0	8984	0	0.0
Escherichia coli	562	species	12319210	3590240	1558336	0.102419
