name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	4	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0
Pseudomonas	286	genus	0	911	9	0.0
Pseudomonas aeruginosa	287	species	22457305	4	0	0
Burkholderia cepacia	292	species	13365495	1	0	0.0
Pseudomonas fluorescens	294	species	14826544	4	3	0.0
Pseudomonas putida	303	species	6888188	53	41	3.76628e-06
Ralstonia solanacearum	305	species	11186335	17	4	6.63342e-08
Pseudomonas stutzeri	316	species	7755802	3	2	6.56426e-08
Pseudomonas syringae	317	species	6129101	5	0	0.0
Ralstonia pickettii	329	species	6378979	139	110	7.47084e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Xanthomonas translucens	343	species	4638247	9	5	1.56078e-167
Agrobacterium tumefaciens	358	species	9211775	1	1	0.0
Bradyrhizobium japonicum	375	species	9215796	3	0	0
Bradyrhizobium sp.	376	species	7547693	4	0	1.17398e-07
Rhizobium leguminosarum	384	species	7369497	5	5	0.0
Methylobacterium extorquens	408	species	6163878	1	1	7.18774e-08
Legionella longbeachae	450	species	4149158	5	0	0.0
Acinetobacter baumannii	470	species	11595472	5	5	0.0
Bordetella bronchiseptica	518	species	6491145	4	0	0.0
Bordetella parapertussis	519	species	4815611	4	0	0.0
Enterobacteriaceae	543	family	0	4294	2882	0.0
Citrobacter	544	genus	0	3938	0	0.0
Citrobacter koseri	545	species	4735357	60619	6	4.24733e-07
Citrobacter freundii	546	species	16193243	7418	20	0
Enterobacter	547	genus	0	1660	1	0.0
[Enterobacter] aerogenes	548	species	10750562	59983	37	7.92962e-07
Pantoea agglomerans	549	species	9924054	78	0	0
Enterobacter cloacae	550	species	10083180	6502	26	0
Erwinia	551	genus	0	26	0	0.0
Erwinia amylovora	552	species	3869718	5	4	1.14491e-07
Pantoea ananatis	553	species	4842757	1130	2	9.16657e-08
