name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	4	0	1.84866e-07
Cellvibrio	10	genus	0	1	0	0.0
Azospirillum	191	genus	0	1	0	0.0
Brucella	234	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Meiothermus ruber	277	species	3097457	2	2	1.06828e-07
Pseudomonas	286	genus	0	748	5	0.0
Pseudomonas aeruginosa	287	species	22457305	9	4	5.4869e-08
Pseudoalteromonas atlantica	288	species	5187005	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	7	4	9.47909e-08
Pseudomonas mendocina	300	species	5293211	1	0	0.0
Pseudomonas putida	303	species	6888188	22	5	7.06447e-07
Ralstonia solanacearum	305	species	11186335	25	9	1.88832e-07
Pseudomonas stutzeri	316	species	7755802	1	1	0.0
Pseudomonas syringae	317	species	6129101	4	0	1.24163e-07
Ralstonia pickettii	329	species	6378979	186	139	6.74099e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Xanthomonas translucens	343	species	4638247	6	2	1.12648e-114
Agrobacterium tumefaciens	358	species	9211775	3	0	0
Rhizobium leguminosarum	384	species	7369497	2	2	0.0
Neorhizobium galegae	399	species	6434105	3	0	8.37008e-42
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Methylobacterium extorquens	408	species	6163878	1	0	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella longbeachae	450	species	4149158	1	1	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Bordetella bronchiseptica	518	species	6491145	1	0	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Acidiphilium cryptum	524	species	3963080	3	0	0.0
Enterobacteriaceae	543	family	0	4916	2846	0.0
Citrobacter	544	genus	0	4081	0	0.0
Citrobacter koseri	545	species	4735357	78332	10	5.74346e-07
Citrobacter freundii	546	species	16193243	8828	20	0
Enterobacter	547	genus	0	1900	2	0.0
[Enterobacter] aerogenes	548	species	10750562	76265	15	1.06928e-07
Pantoea agglomerans	549	species	9924054	69	0	1.06745e-34
Enterobacter cloacae	550	species	10083180	5586	11	0
Erwinia	551	genus	0	7	0	0.0
Pantoea ananatis	553	species	4842757	1367	2	1.36953e-07
Pectobacterium carotovorum	554	species	4852842	29	6	0.0
Escherichia	561	genus	0	10690	0	0.0
Escherichia coli	562	species	12319210	3982487	1732491	0.10625
Shimwellia blattae	563	species	4158725	3838	4	8.00818e-08
Escherichia fergusonii	564	species	4643861	319314	726	5.31169e-05
Hafnia	568	genus	0	2	0	0.0
Hafnia alvei	569	species	6928293	5536	3	1.43636e-07
Klebsiella	570	genus	0	3824	0	0.0
Klebsiella oxytoca	571	species	16779606	2782	10	0
Klebsiella pneumoniae	573	species	15713353	81366	70	0
Morganella morganii	582	species	3853791	6	0	0.0
Proteus mirabilis	584	species	5337360	6	0	0.0
Proteus vulgaris	585	species	3794983	6	0	0.0
Providencia stuartii	588	species	6521015	1	0	0.0
Salmonella	590	genus	0	41	0	0.0
Serratia	613	genus	0	37	0	0.0
Serratia liquefaciens	614	species	7946985	1432	5	0
Serratia marcescens	615	species	8465231	39	3	1.00466e-07
Shigella	620	genus	0	553867	0	0.0
Shigella boydii	621	species	4698475	574576	190	4.61531e-06
Shigella dysenteriae	622	species	4560911	502161	247	7.18563e-06
Shigella flexneri	623	species	4763519	537342	75	2.12234e-06
Shigella sonnei	624	species	6798914	673968	71	1.07004e-06
Xenorhabdus	626	genus	0	6	0	0.0
Xenorhabdus nematophila	628	species	4586662	1	0	5.33955e-31
Yersinia	629	genus	0	12168	0	0.0
Yersinia enterocolitica	630	species	14308813	1455	0	4.57441e-46
Yersinia intermedia	631	species	4859749	13	8	0.0
Yersinia pestis	632	species	7124135	1433	0	3.25747e-39
Yersinia pseudotuberculosis	633	species	9565781	392	0	2.02809e-43
Edwardsiella	635	genus	0	2962	0	0.0
Edwardsiella tarda	636	species	3717889	2	0	0.0
