name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	3	2	0.0
Myxococcales	29	order	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	5	5	0.0
Brachyspira hyodysenteriae	159	species	3055339	2	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Achromobacter	222	genus	0	3	0	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Comamonas testosteroni	285	species	5695231	6	0	0
Pseudomonas	286	genus	0	931	8	0.0
Pseudomonas aeruginosa	287	species	22457305	15	4	1.16031e-07
Pseudomonas fluorescens	294	species	14826544	3	1	5.55983e-20
Pseudomonas putida	303	species	6888188	61	47	2.90843e-06
Ralstonia solanacearum	305	species	11186335	28	9	1.16169e-07
Pseudomonas stutzeri	316	species	7755802	6	6	1.0591e-07
Ralstonia pickettii	329	species	6378979	197	124	8.53005e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	2	1	9.54407e-08
Burkholderia glumae	337	species	7333967	1	1	0.0
Agrobacterium	357	genus	0	4	0	0.0
Agrobacterium tumefaciens	358	species	9211775	2	0	0
Bradyrhizobium japonicum	375	species	9215796	1	0	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Rhizobium leguminosarum	384	species	7369497	5	1	0.0
Methylobacterium extorquens	408	species	6163878	1	0	1.59266e-28
Methylococcus capsulatus	414	species	3304561	1	1	0.0
Legionella longbeachae	450	species	4149158	4	0	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	7.97907e-20
Neisseria lactamica	486	species	2220606	1	0	0
Neisseria meningitidis	487	species	8508873	1	0	0
Neisseria elongata	495	species	2256647	1	0	0
Zymomonas mobilis	542	species	2426073	1	1	0.0
Enterobacteriaceae	543	family	0	5298	3160	0.0
Citrobacter	544	genus	0	4304	0	0.0
Citrobacter koseri	545	species	4735357	75460	17	3.85474e-07
Citrobacter freundii	546	species	16193243	9780	36	0
Enterobacter	547	genus	0	2029	0	0.0
[Enterobacter] aerogenes	548	species	10750562	73570	28	2.96578e-07
Pantoea agglomerans	549	species	9924054	96	0	1.7853e-26
Enterobacter cloacae	550	species	10083180	7602	21	0
Erwinia	551	genus	0	20	0	0.0
Erwinia amylovora	552	species	3869718	3	0	0
Pantoea ananatis	553	species	4842757	1596	1	1.83317e-38
Pectobacterium carotovorum	554	species	4852842	45	9	7.51119e-08
Escherichia	561	genus	0	12904	0	0.0
Escherichia coli	562	species	12319210	3921545	1663627	0.115031
Shimwellia blattae	563	species	4158725	4941	4	1.76637e-07
Escherichia fergusonii	564	species	4643861	322996	677	5.12681e-05
Hafnia	568	genus	0	3	0	0.0
Hafnia alvei	569	species	6928293	4145	2	0
Klebsiella	570	genus	0	4860	0	0.0
Klebsiella oxytoca	571	species	16779606	3506	6	0
Klebsiella pneumoniae	573	species	15713353	79555	82	0
Proteus mirabilis	584	species	5337360	13	0	0.0
Proteus vulgaris	585	species	3794983	13	0	0.0
Salmonella	590	genus	0	29	0	0.0
Serratia	613	genus	0	75	0	0.0
Serratia liquefaciens	614	species	7946985	1863	17	0
Serratia marcescens	615	species	8465231	44	3	0
Shigella	620	genus	0	574932	0	0.0
Shigella boydii	621	species	4698475	560526	289	1.70842e-06
Shigella dysenteriae	622	species	4560911	492968	329	6.77195e-06
Shigella flexneri	623	species	4763519	532381	122	4.62806e-06
Shigella sonnei	624	species	6798914	663450	118	1.50797e-06
Yersinia	629	genus	0	16326	0	0.0
Yersinia enterocolitica	630	species	14308813	1819	0	1.59868e-53
Yersinia intermedia	631	species	4859749	15	1	0.0
Yersinia pestis	632	species	7124135	1768	1	1.65099e-39
Yersinia pseudotuberculosis	633	species	9565781	234	1	3.88689e-08
Edwardsiella	635	genus	0	3906	0	0.0
Edwardsiella tarda	636	species	3717889	4	0	0
Aeromonas	642	genus	0	9	0	0.0
Aeromonas hydrophila	644	species	7739252	4	0	0
Aeromonas media	651	species	4788430	2	0	1.52244e-07
Aeromonas schubertii	652	species	4400034	1	0	0.0
