name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	14	14	8.36707e-07
Cellulomonas gilvus	11	species	3526441	4	3	2.97743e-225
Myxococcus fulvus	33	species	10026214	5	0	0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Lysobacter	68	genus	0	1	0	0.0
Leptothrix	88	genus	0	5	0	0.0
Azospirillum brasilense	192	species	13978806	6	0	0
Azospirillum lipoferum	193	species	7223069	7	2	1.59141e-125
Achromobacter	222	genus	0	20	0	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	1	0.0
Comamonas	283	genus	0	11	0	0.0
Comamonas testosteroni	285	species	5695231	60	9	1.06813e-05
Pseudomonas	286	genus	0	76	3	0.0
Pseudomonas aeruginosa	287	species	22457305	98	38	9.73868e-06
Burkholderia cepacia	292	species	13365495	4	0	6.54604e-29
Pseudomonas fluorescens	294	species	14826544	26	11	2.2523e-06
Pseudomonas fragi	296	species	5101809	1	0	0.0
Pseudomonas putida	303	species	6888188	45	30	2.16899e-05
Ralstonia solanacearum	305	species	11186335	9	1	4.11591e-07
Pseudomonas stutzeri	316	species	7755802	30	15	9.16543e-06
Pseudomonas syringae	317	species	6129101	2	1	0.0
Ralstonia pickettii	329	species	6378979	40	29	1.84818e-05
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	7.64759e-68
Burkholderia glumae	337	species	7333967	1	1	0.0
Xanthomonas	338	genus	0	35	2	0.0
Xanthomonas campestris	339	species	7063896	42	7	0
Xanthomonas translucens	343	species	4638247	41	4	1.86543e-06
Xanthomonas citri	346	species	17318955	33	0	0
Xanthomonas oryzae	347	species	17545599	13	3	0
Azotobacter	352	genus	0	1	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0
Azotobacter vinelandii	354	species	5351632	4	0	3.37906e-06
Rhizobiales	356	order	0	3	0	0.0
Agrobacterium tumefaciens	358	species	9211775	9	1	0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Bradyrhizobium japonicum	375	species	9215796	1	1	0.0
Bradyrhizobium sp.	376	species	7547693	10	2	5.95121e-07
Rhizobium	379	genus	0	1	1	0.0
Sinorhizobium fredii	380	species	6891900	1	0	0.0
Mesorhizobium loti	381	species	7539018	6	0	0.0
Sinorhizobium meliloti	382	species	6962835	3	0	0
Rhizobium phaseoli	396	species	87841097	4	4	0.0
Methylobacterium	407	genus	0	2	0	0.0
Methylobacterium extorquens	408	species	6163878	3	0	0.0
Methylomonas methanica	421	species	5051681	1	1	0.0
Legionella longbeachae	450	species	4149158	1	1	0.0
Acinetobacter baumannii	470	species	11595472	3	1	4.20512e-07
Alcaligenaceae	506	family	0	4	0	0.0
Alcaligenes faecalis	511	species	4248684	932	903	0.000737603
Bordetella	517	genus	0	27	0	0.0
