name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Shewanella	22	genus	0	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Azospirillum brasilense	192	species	13978806	1	0	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Helicobacter	209	genus	0	2	0	0.0
Helicobacter pylori	210	species	2044699	57	56	1.00999e-05
Helicobacter acinonychis	212	species	1557588	1	0	1.01195e-42
Helicobacter felis	214	species	1672681	1	1	0.0
Achromobacter	222	genus	0	2	0	0.0
Paracoccus denitrificans	266	species	5236194	2	0	1.67077e-80
Comamonas testosteroni	285	species	5695231	16	7	2.46259e-23
Pseudomonas	286	genus	0	346	11	0.0
Pseudomonas aeruginosa	287	species	22457305	464	396	7.82583e-06
Pseudomonas fluorescens	294	species	14826544	14	7	2.28001e-07
Pseudomonas mendocina	300	species	5293211	1	0	1.4415e-17
Pseudomonas putida	303	species	6888188	21	9	9.92835e-07
Ralstonia solanacearum	305	species	11186335	30	0	7.19843e-17
Pseudomonas stutzeri	316	species	7755802	19	3	1.23625e-07
Pseudomonas syringae	317	species	6129101	1	0	6.9412e-10
Ralstonia pickettii	329	species	6378979	154	105	7.67034e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	8	5	5.15582e-07
Xanthomonas campestris	339	species	7063896	5	0	0.0
Xanthomonas translucens	343	species	4638247	14	8	9.8003e-59
Azotobacter chroococcum	353	species	5192286	5	0	2.44651e-26
Azotobacter vinelandii	354	species	5351632	2	0	2.61753e-41
Rhizobium leguminosarum	384	species	7369497	3	3	0.0
Methylobacterium extorquens	408	species	6163878	1	1	6.32141e-08
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Acinetobacter baumannii	470	species	11595472	339	257	1.12234e-05
Moraxella	475	genus	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	86	0	1.64086e-18
Neisseria lactamica	486	species	2220606	46	0	2.61394e-25
Neisseria meningitidis	487	species	8508873	246	141	1.12192e-05
