name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	4	2	0.0
Myxococcus fulvus	33	species	10026214	1	1	0.0
Isosphaera pallida	128	species	5529304	1	0	2.2634e-49
Azospirillum	191	genus	0	2	0	0.0
Azospirillum lipoferum	193	species	7223069	1	1	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Comamonas testosteroni	285	species	5695231	1	1	0.0
Pseudomonas	286	genus	0	660	5	0.0
Pseudomonas aeruginosa	287	species	22457305	1	0	1.64999e-20
Burkholderia cepacia	292	species	13365495	2	0	0.0
Pseudomonas fluorescens	294	species	14826544	8	5	0
Pseudomonas putida	303	species	6888188	62	49	4.06293e-06
Ralstonia solanacearum	305	species	11186335	20	5	6.96396e-08
Pseudomonas stutzeri	316	species	7755802	3	2	1.36792e-07
Pseudomonas syringae	317	species	6129101	1	0	1.12585e-09
Ralstonia pickettii	329	species	6378979	138	95	8.84972e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	9	3	3.68082e-07
Xanthomonas translucens	343	species	4638247	2	2	0.0
Xanthomonas oryzae	347	species	17545599	1	0	0.0
Azotobacter	352	genus	0	2	0	0.0
Rhizobiales	356	order	0	4	0	0.0
Bradyrhizobium	374	genus	0	2	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Mesorhizobium loti	381	species	7539018	1	0	8.32551e-19
Rhizobium leguminosarum	384	species	7369497	7	7	0.0
Neorhizobium galegae	399	species	6434105	3	0	8.45115e-43
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Methylobacterium	407	genus	0	1	0	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella pneumophila	446	species	15688009	1	0	0.0
Legionella longbeachae	450	species	4149158	6	1	0.0
Acinetobacter baumannii	470	species	11595472	3	1	0.0
Moraxella	475	genus	0	1	0	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Thermomicrobium roseum	500	species	2920744	1	1	0.0
Zymomonas mobilis	542	species	2426073	1	1	0.0
Enterobacteriaceae	543	family	0	2546	1730	0.0
Citrobacter	544	genus	0	2980	0	0.0
Citrobacter koseri	545	species	4735357	61032	33	1.65706e-06
Citrobacter freundii	546	species	16193243	6560	28	0
Enterobacter	547	genus	0	1640	2	0.0
[Enterobacter] aerogenes	548	species	10750562	59054	50	0
