name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Leptospira biflexa	172	species	3953768	1	1	0.0
Meiothermus ruber	277	species	3097457	1	1	2.00462e-07
Pseudomonas	286	genus	0	4	0	0.0
Pseudomonas putida	303	species	6888188	386	386	3.38037e-05
Pseudomonas syringae	317	species	6129101	1	0	1.92138e-10
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Bradyrhizobium	374	genus	0	1	0	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Legionella longbeachae	450	species	4149158	8	2	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Thermomicrobium roseum	500	species	2920744	2	2	0.0
Zymomonas mobilis	542	species	2426073	4	4	0.0
Enterobacteriaceae	543	family	0	3428	3269	0.0
Citrobacter	544	genus	0	26	0	0.0
Citrobacter koseri	545	species	4735357	36506	5	1.56583e-07
Citrobacter freundii	546	species	16193243	3545	13	2.21042e-07
Enterobacter	547	genus	0	60	1	0.0
[Enterobacter] aerogenes	548	species	10750562	38739	14	6.33887e-08
Pantoea agglomerans	549	species	9924054	27	0	0.0
Enterobacter cloacae	550	species	10083180	140	12	5.83164e-07
Erwinia	551	genus	0	17	0	0.0
Pectobacterium carotovorum	554	species	4852842	35	6	1.27951e-07
Escherichia	561	genus	0	7218	0	0.0
Escherichia coli	562	species	12319210	2331733	916811	0.116241
Shimwellia blattae	563	species	4158725	6155	0	2.24536e-45
Escherichia fergusonii	564	species	4643861	219094	223	2.81637e-05
Hafnia	568	genus	0	6	0	0.0
Hafnia alvei	569	species	6928293	2161	0	1.33445e-18
Klebsiella	570	genus	0	567	0	0.0
Klebsiella oxytoca	571	species	16779606	1309	10	2.76122e-07
Klebsiella pneumoniae	573	species	15713353	45066	53	7.02469e-17
Proteus mirabilis	584	species	5337360	4	0	0.0
Proteus vulgaris	585	species	3794983	4	0	0.0
Salmonella	590	genus	0	1	0	0.0
Serratia	613	genus	0	50	0	0.0
Serratia liquefaciens	614	species	7946985	7	5	8.36814e-08
Serratia marcescens	615	species	8465231	13	0	1.75283e-07
Shigella	620	genus	0	373065	0	0.0
Shigella boydii	621	species	4698475	330971	176	2.72511e-06
Shigella dysenteriae	622	species	4560911	314450	163	6.85359e-06
Shigella flexneri	623	species	4763519	330418	59	1.02049e-05
Shigella sonnei	624	species	6798914	372152	88	1.77017e-06
Yersinia	629	genus	0	8050	0	0.0
Yersinia enterocolitica	630	species	14308813	231	0	1.21757e-70
Yersinia pestis	632	species	7124135	212	0	1.96898e-58
Yersinia pseudotuberculosis	633	species	9565781	9	1	0.0
Edwardsiella	635	genus	0	1995	0	0.0
Edwardsiella tarda	636	species	3717889	2	0	1.85506e-07
Aeromonas	642	genus	0	3	0	0.0
Aeromonas hydrophila	644	species	7739252	4	1	1.8693e-19
Aeromonas veronii	654	species	7214925	1	1	0.0
Vibrio cholerae	666	species	6170861	7	0	0.0
Vibrio mimicus	674	species	8922704	2	0	0.0
Vibrio fluvialis	676	species	4827724	1	1	1.28616e-07
Vibrio natriegens	691	species	10692018	3	3	0.0
Plesiomonas	702	genus	0	2	0	0.0
Plesiomonas shigelloides	703	species	3405979	1995	0	7.44307e-69
Sebaldella termitidis	826	species	4486650	1	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	6312	0	5.02052e-55
Leuconostoc lactis	1246	species	1788069	2274	0	4.17071e-71
Oenococcus oeni	1247	species	1780517	11	0	0.0
Leuconostoc carnosum	1252	species	1773468	6299	0	3.07792e-53
Staphylococcus	1279	genus	0	12558	6798	0.0
Staphylococcus aureus	1280	species	7252422	1077572	1014394	0.0916782
Staphylococcus carnosus	1281	species	2605765	43	43	0.0
Staphylococcus epidermidis	1282	species	3296362	1027	6	4.53145e-35
Staphylococcus haemolyticus	1283	species	2629003	18	12	3.99793e-07
Staphylococcus hyicus	1284	species	2472129	18	0	0.0
Staphylococcus simulans	1286	species	2647552	1	1	0.0
Staphylococcus warneri	1292	species	2560716	4	2	8.36359e-07
Staphylococcus schleiferi	1295	species	12494798	1030	1	1.36326e-57
Streptococcus oralis	1303	species	1958690	2557	0	2.49401e-41
Streptococcus sanguinis	1305	species	2388435	1264	1	2.1834e-73
Streptococcus suis	1307	species	2683756	7373	1	2.35913e-07
Streptococcus thermophilus	1308	species	3463400	2548	0	5.19657e-51
Streptococcus mutans	1309	species	2017559	451490	433761	0.138296
Streptococcus agalactiae	1311	species	5721038	486071	454331	0.0521063
Streptococcus pneumoniae	1313	species	2272871	8	3	0.0
Streptococcus pyogenes	1314	species	4096430	16871	1482	0.000229657
Streptococcus anginosus	1328	species	2557124	5	2	0.0
Streptococcus dysgalactiae	1334	species	2149105	12779	8	3.04008e-18
Streptococcus equi	1336	species	2140495	2	2	5.80168e-07
Streptococcus intermedius	1338	species	1963517	11704	34	9.7457e-07
Streptococcus parauberis	1348	species	2143887	44	44	5.7925e-07
Enterococcus faecalis	1351	species	3401628	5641	0	4.40639e-56
Lactococcus lactis	1358	species	2704731	4654	0	1.43915e-65
Aerococcus viridans	1377	species	2199877	648	0	4.90081e-67
Bacillus amyloliquefaciens	1390	species	5608910	1	0	0.0
Bacillus cereus	1396	species	9676532	11	1	0.0
Bacillus coagulans	1398	species	4327944	4	4	0.0
Bacillus megaterium	1404	species	5334474	1	0	0.0
Bacillus mycoides	1405	species	11312355	2	2	1.09778e-07
Bacillus subtilis	1423	species	7550081	1	0	0.0
Parageobacillus thermoglucosidans	1426	species	5935916	9	0	0.0
Bacillus thuringiensis	1428	species	10269592	7	0	0.0
Lactobacillus	1578	genus	0	6358	0	0.0
Lactobacillus acidophilus	1579	species	2018718	7	0	0.0
Lactobacillus brevis	1580	species	2493592	17754	112	1.27073e-06
Lactobacillus buchneri	1581	species	2575738	10185	7910	0.00190971
Lactobacillus casei	1582	species	3039836	2420	2420	0.000493376
Lactobacillus delbrueckii	1584	species	1920382	12697	3	3.30188e-07
Lactobacillus helveticus	1587	species	3148198	7931	0	5.30452e-49
Lactobacillus plantarum	1590	species	8684028	183	40	2.86439e-06
Lactobacillus paracasei	1597	species	4200086	7016	39	1.92005e-55
Lactobacillus reuteri	1598	species	2811237	2029	68	2.44407e-06
Lactobacillus acetotolerans	1600	species	1704859	1694	0	5.35586e-49
Lactobacillus amylovorus	1604	species	1977087	7	0	0.0
