SampleID	Group	Abundance	Species	Dist
S88	5_10ng	0.073373257	Bacteroides_vulgatus	
S89	5_10ng	0.021631574	Schaalia_odontolytica	
S90	5_10ng	0.038811981	Neisseria_meningitidis	
S91	5_10ng	0.076462531	Acinetobacter_baumannii	
S92	5_10ng	0.050755803	Bacillus_cereus	
S93	5_10ng	0.047681662	Enterococcus_faecalis	
S94	5_10ng	0.080585766	Clostridium_beijerinckii	
S95	5_10ng	0.066127032	Staphylococcus_aureus	
S96	5_10ng	0.078079695	Lactobacillus_gasseri	
S97	5_10ng	0.072103271	Streptococcus_agalactiae	
S98	5_10ng	0.049419313	Streptococcus_mutans	
S99	5_10ng	0.071449464	Helicobacter_pylori	
S100	5_10ng	0.020523154	Staphylococcus_epidermidis	
S101	6_1ng	0.023511055	Pseudomonas_aeruginosa	0.109 
S102	6_1ng	0.021760471	Rhodobacter_sphaeroides	
S103	6_1ng	0.039594173	Escherichia_coli	
S104	6_1ng	0.039767969	Cutibacterium_acnes	
S105	6_1ng	0.02585942	Bifidobacterium_adolescentis	
S106	6_1ng	0.034299336	Deinococcus_radiodurans	
S107	6_1ng	0.046341204	Porphyromonas_gingivalis	
S108	6_1ng	0.07413009	Bacteroides_vulgatus	
S109	6_1ng	0.02213588	Schaalia_odontolytica	
S110	6_1ng	0.050735631	Neisseria_meningitidis	
S111	6_1ng	0.088691642	Acinetobacter_baumannii	
S112	6_1ng	0.032137036	Bacillus_cereus	
S113	6_1ng	0.059915118	Enterococcus_faecalis	
S114	6_1ng	0.072510009	Clostridium_beijerinckii	
S115	6_1ng	0.078553614	Staphylococcus_aureus	
S116	6_1ng	0.080726378	Lactobacillus_gasseri	
S117	6_1ng	0	Streptococcus_agalactiae	
S118	6_1ng	0.076563343	Streptococcus_mutans	
S119	6_1ng	0.060461383	Helicobacter_pylori	
S120	6_1ng	0.072306249	Staphylococcus_epidermidis	
S121	7_0.1ng	0.022567458	Pseudomonas_aeruginosa	0.115 
S122	7_0.1ng	0.020487304	Rhodobacter_sphaeroides	
S123	7_0.1ng	0.040101316	Escherichia_coli	
S124	7_0.1ng	0.039230846	Cutibacterium_acnes	
S125	7_0.1ng	0.025197163	Bifidobacterium_adolescentis	
S126	7_0.1ng	0.029794611	Deinococcus_radiodurans	
S127	7_0.1ng	0.046816064	Porphyromonas_gingivalis	
S128	7_0.1ng	0.073966994	Bacteroides_vulgatus	
S129	7_0.1ng	0.021331406	Schaalia_odontolytica	
S130	7_0.1ng	0.050161385	Neisseria_meningitidis	
S131	7_0.1ng	0.093910911	Acinetobacter_baumannii	
S132	7_0.1ng	0.030746252	Bacillus_cereus	
S133	7_0.1ng	0.057391567	Enterococcus_faecalis	
S134	7_0.1ng	0.077838568	Clostridium_beijerinckii	
S135	7_0.1ng	0.063982897	Staphylococcus_aureus	
S136	7_0.1ng	0.088325805	Lactobacillus_gasseri	
S137	7_0.1ng	0	Streptococcus_agalactiae	
S138	7_0.1ng	0.08011144	Streptococcus_mutans	
S139	7_0.1ng	0.062155543	Helicobacter_pylori	
S140	7_0.1ng	0.07588247	Staphylococcus_epidermidis	
S141	8_0.01ng	0.032641302	Pseudomonas_aeruginosa	0.152 
S142	8_0.01ng	0.028460821	Rhodobacter_sphaeroides	
S143	8_0.01ng	0.050448128	Escherichia_coli	
